Fecha,Hora,Aerolínea y vuelo,Origen,Destino,Estado,T. max. (°C) (Hora),T. min. (°C) (Hora),T. media (°C),Racha (km/h) (Hora),V. max. (km/h) (Hora),Pr. 00 - 24h (mm),Pr. 00 - 06h (mm),Pr. 06 - 12h (mm),Pr. 12 - 18h (mm),Pr. 18 - 24h (mm)
07/11/2025,09:25,Ryanair  - FR2542,Memmingen Allgau Airport (FMM),Aeropuerto de Málaga (AGP),Retrasado,23.0(15:10),11.8(07:40),17.4,45(12:00),33(12:10),0.0,0.0,0.0,0.0,0.0
06/11/2025,09:10,Vueling Airlines - VY2111,Josep Tarradellas Barcelona–El Prat Airport (BCN),Aeropuerto de Málaga (AGP),Cancelado,21.4(15:10),13.5(23:59),17.4,52(13:10),34(14:10),0.0,0.0,0.0,0.0,0.0
06/11/2025,09:10,Qatar Airways - QR3527,Josep Tarradellas Barcelona–El Prat Airport (BCN),Aeropuerto de Málaga (AGP),Cancelado,21.4(15:10),13.5(23:59),17.4,52(13:10),34(14:10),0.0,0.0,0.0,0.0,0.0
06/11/2025,09:10,Iberia Airlines - IB5145,Josep Tarradellas Barcelona–El Prat Airport (BCN),Aeropuerto de Málaga (AGP),Cancelado,21.4(15:10),13.5(23:59),17.4,52(13:10),34(14:10),0.0,0.0,0.0,0.0,0.0
05/11/2025,06:05,SAS Scandinavian Airlines - SK1583,Stockholm-Arlanda Airport (ARN),Aeropuerto de Málaga (AGP),Cancelado,22.4(14:40),15.4(23:59),18.9,30(21:40),18(14:50),7.6,0.0,0.0,0.0,7.6
04/11/2025,20:35,Vueling Airlines - VY2151,Aeropuertos de Bruselas (BRU),Aeropuerto de Málaga (AGP),Cancelado,22.7(13:00),14.8(05:30),18.8,28(12:50),15(01:40),0.0,0.0,0.0,0.0,0.0
04/11/2025,18:35,Malta air - FR2609,Glasgow International Airport (GLA),Aeropuerto de Málaga (AGP),Retrasado,22.7(13:00),14.8(05:30),18.8,28(12:50),15(01:40),0.0,0.0,0.0,0.0,0.0
09/11/2025,13:00,Avianca - AV6146,Aeropuerto Adolfo Suárez Madrid-Barajas (MAD),Josep Tarradellas Barcelona–El Prat Airport (BCN),Cancelado,17.8(13:10),11.1(08:00),14.4,39(11:00),27(10:50),0.00.0,0.0,0.0,0.0,0.0
09/11/2025,13:00,LATAM Airlines Group - LA5401,Aeropuerto Adolfo Suárez Madrid-Barajas (MAD),Josep Tarradellas Barcelona–El Prat Airport (BCN),Cancelado,17.8(13:10),11.1(08:00),14.4,39(11:00),27(10:50),0.00.0,0.0,0.0,0.0,0.0
09/11/2025,13:00,Cathay Pacific - CX1841,Aeropuerto Adolfo Suárez Madrid-Barajas (MAD),Josep Tarradellas Barcelona–El Prat Airport (BCN),Cancelado,17.8(13:10),11.1(08:00),14.4,39(11:00),27(10:50),0.00.0,0.0,0.0,0.0,0.0
08/11/2025,14:25,Vueling Airlines - VY2013,Aeropuerto Federico García Lorca (GRX),Josep Tarradellas Barcelona–El Prat Airport (BCN),Retrasado,18.1(15:30),11.8(22:40),15.0,46(01:50),20(03:20),0.0,0.0,0.0,0.0,0.0
08/11/2025,14:25,Iberia Airlines - IB5335,Aeropuerto Federico García Lorca (GRX),Josep Tarradellas Barcelona–El Prat Airport (BCN),Retrasado,18.1(15:30),11.8(22:40),15.0,46(01:50),20(03:20),0.0,0.0,0.0,0.0,0.0
08/11/2025,14:25,Qatar Airways - QR3683,Aeropuerto Federico García Lorca (GRX),Josep Tarradellas Barcelona–El Prat Airport (BCN),Retrasado,18.1(15:30),11.8(22:40),15.0,46(01:50),20(03:20),0.0,0.0,0.0,0.0,0.0
08/11/2025,14:25,Vueling Airlines - VY2013,Aeropuerto Federico García Lorca (GRX),Josep Tarradellas Barcelona–El Prat Airport (BCN),Retrasado,18.1(15:30),11.8(22:40),15.0,46(01:50),20(03:20),0.0,0.0,0.0,0.0,0.0
08/11/2025,11:55,Iberia Airlines - IB2606,Comodoro Arturo Merino Benítez International Airport (SCL),Josep Tarradellas Barcelona–El Prat Airport (BCN),Cancelado,18.1(15:30),11.8(22:40),15.0,46(01:50),20(03:20),0.0,0.0,0.0,0.0,0.0
08/11/2025,11:55,Qatar Airways - QR5367,Comodoro Arturo Merino Benítez International Airport (SCL),Josep Tarradellas Barcelona–El Prat Airport (BCN),Cancelado,18.1(15:30),11.8(22:40),15.0,46(01:50),20(03:20),0.0,0.0,0.0,0.0,0.0
08/11/2025,11:55,Vueling Airlines - VY9786,Comodoro Arturo Merino Benítez International Airport (SCL),Josep Tarradellas Barcelona–El Prat Airport (BCN),Cancelado,18.1(15:30),11.8(22:40),15.0,46(01:50),20(03:20),0.0,0.0,0.0,0.0,0.0
08/11/2025,08:25,Vueling Airlines - VY3901,Aeropuerto de Palma De Mallorca (PMI),Josep Tarradellas Barcelona–El Prat Airport (BCN),Retrasado,18.1(15:30),11.8(22:40),15.0,46(01:50),20(03:20),0.0,0.0,0.0,0.0,0.0
08/11/2025,08:25,Vueling Airlines - VY3901,Aeropuerto de Palma De Mallorca (PMI),Josep Tarradellas Barcelona–El Prat Airport (BCN),Retrasado,18.1(15:30),11.8(22:40),15.0,46(01:50),20(03:20),0.0,0.0,0.0,0.0,0.0
08/11/2025,08:25,LATAM Airlines Group - LA5885,Aeropuerto de Palma De Mallorca (PMI),Josep Tarradellas Barcelona–El Prat Airport (BCN),Retrasado,18.1(15:30),11.8(22:40),15.0,46(01:50),20(03:20),0.0,0.0,0.0,0.0,0.0
08/11/2025,08:25,Qatar Airways - QR3688,Aeropuerto de Palma De Mallorca (PMI),Josep Tarradellas Barcelona–El Prat Airport (BCN),Retrasado,18.1(15:30),11.8(22:40),15.0,46(01:50),20(03:20),0.0,0.0,0.0,0.0,0.0
08/11/2025,08:25,Iberia Airlines - IB5322,Aeropuerto de Palma De Mallorca (PMI),Josep Tarradellas Barcelona–El Prat Airport (BCN),Retrasado,18.1(15:30),11.8(22:40),15.0,46(01:50),20(03:20),0.0,0.0,0.0,0.0,0.0
07/11/2025,20:10,Vueling Airlines - VY3509,Aeropuerto de Ibiza (IBZ),Josep Tarradellas Barcelona–El Prat Airport (BCN),Retrasado,20.8(15:50),12.0(06:30),16.4,37(06:50),20(09:20),0.0,0.0,0.0,0.0,0.0
07/11/2025,20:10,Qatar Airways - QR3520,Aeropuerto de Ibiza (IBZ),Josep Tarradellas Barcelona–El Prat Airport (BCN),Retrasado,20.8(15:50),12.0(06:30),16.4,37(06:50),20(09:20),0.0,0.0,0.0,0.0,0.0
07/11/2025,20:10,Iberia Airlines - IB5070,Aeropuerto de Ibiza (IBZ),Josep Tarradellas Barcelona–El Prat Airport (BCN),Retrasado,20.8(15:50),12.0(06:30),16.4,37(06:50),20(09:20),0.0,0.0,0.0,0.0,0.0
07/11/2025,20:10,Vueling Airlines - VY3509,Aeropuerto de Ibiza (IBZ),Josep Tarradellas Barcelona–El Prat Airport (BCN),Retrasado,20.8(15:50),12.0(06:30),16.4,37(06:50),20(09:20),0.0,0.0,0.0,0.0,0.0
07/11/2025,16:55,American Airlines - AA8857,Aeropuerto de Sevilla (SVQ),Josep Tarradellas Barcelona–El Prat Airport (BCN),Retrasado,20.8(15:50),12.0(06:30),16.4,37(06:50),20(09:20),0.0,0.0,0.0,0.0,0.0
07/11/2025,16:55,Iberia Airlines - IB5167,Aeropuerto de Sevilla (SVQ),Josep Tarradellas Barcelona–El Prat Airport (BCN),Retrasado,20.8(15:50),12.0(06:30),16.4,37(06:50),20(09:20),0.0,0.0,0.0,0.0,0.0
07/11/2025,16:55,Qatar Airways - QR3759,Aeropuerto de Sevilla (SVQ),Josep Tarradellas Barcelona–El Prat Airport (BCN),Retrasado,20.8(15:50),12.0(06:30),16.4,37(06:50),20(09:20),0.0,0.0,0.0,0.0,0.0
07/11/2025,16:55,Vueling Airlines - VY2217,Aeropuerto de Sevilla (SVQ),Josep Tarradellas Barcelona–El Prat Airport (BCN),Retrasado,20.8(15:50),12.0(06:30),16.4,37(06:50),20(09:20),0.0,0.0,0.0,0.0,0.0
07/11/2025,15:50,Vueling Airlines - VY1885,"Berlin Brandenburg Airport ""Willy Brandt"" (BER)",Josep Tarradellas Barcelona–El Prat Airport (BCN),Retrasado,20.8(15:50),12.0(06:30),16.4,37(06:50),20(09:20),0.0,0.0,0.0,0.0,0.0
07/11/2025,15:50,Vueling Airlines - VY1885,"Berlin Brandenburg Airport ""Willy Brandt"" (BER)",Josep Tarradellas Barcelona–El Prat Airport (BCN),Retrasado,20.8(15:50),12.0(06:30),16.4,37(06:50),20(09:20),0.0,0.0,0.0,0.0,0.0
07/11/2025,15:50,Iberia Airlines - IB5313,"Berlin Brandenburg Airport ""Willy Brandt"" (BER)",Josep Tarradellas Barcelona–El Prat Airport (BCN),Retrasado,20.8(15:50),12.0(06:30),16.4,37(06:50),20(09:20),0.0,0.0,0.0,0.0,0.0
07/11/2025,15:50,Qatar Airways - QR4711,"Berlin Brandenburg Airport ""Willy Brandt"" (BER)",Josep Tarradellas Barcelona–El Prat Airport (BCN),Retrasado,20.8(15:50),12.0(06:30),16.4,37(06:50),20(09:20),0.0,0.0,0.0,0.0,0.0
07/11/2025,14:45,Vueling Airlines - VY6515,Turin Airport (TRN),Josep Tarradellas Barcelona–El Prat Airport (BCN),Cancelado,20.8(15:50),12.0(06:30),16.4,37(06:50),20(09:20),0.0,0.0,0.0,0.0,0.0
07/11/2025,14:45,Iberia Airlines - IB5696,Turin Airport (TRN),Josep Tarradellas Barcelona–El Prat Airport (BCN),Cancelado,20.8(15:50),12.0(06:30),16.4,37(06:50),20(09:20),0.0,0.0,0.0,0.0,0.0
06/11/2025,20:05,American Airlines - AA8861,Aeropuerto de Sevilla (SVQ),Josep Tarradellas Barcelona–El Prat Airport (BCN),Cancelado,20.3(06:50),13.1(09:00),16.7,46(08:10),30(15:20),12.5,0.0,12.5,0.0,0.0
